ID,BLOCK,TREAT,Genotypes,GENOTYPE,Experiment,EMR.7DAP,EMR.9DAP,EMR.12DAP,NSTM.14DAP,HGT.16DAP,NLEAF.28DAP,NSTM.28DAP,HGT.28DAP,VGR.28DAP,DSTM.28DAP,SPAD.29DAP,HGT.41DAP,VGR.41DAP,NLEAF.41DAP,NSTM.41DAP,DSTM.42DAP,HGT.54DAP,SPAD.59DAP,HGT.70DAP,VGR.75DAP,STRS.75DAP,SPAD.76DAP,DSTEM.76DAP,STRS.83DAP,PRCT.83DAP,SPAD.83DAP,DSTM.84DAP,RWC.84DAP,DRWC,OP.84DAP,HGT.86DAP,LEAFFW,LEAFDW,STEMFW,STEMDW,ROOTFW,ROOTDW,TUBFW,TUBDW,NTUB,root:shoot,TUBDM,BIOMFW,BIOMDW,HI,TDWS,TTRNS,WUE,TWUE,TWA,FTSW,LA,LAR,SLA,RLG,ROOTMS,STOLMS
775,V,wellwater,5,CIP398180.612,,1.00,1.00,1.00,3.00,19.00,24.00,3.00,49.00,3.00,0.73,58.70,69.00,3.00,34.00,3.00,6.86,105.00,47.40,151.00,3.00,1.00,45.90,7.25,3.00,5.00,42.60,7.56,77.84,19.25,-2.37,154.00,309.27,22.58,270.20,18.16,117.39,6.89,,,,0.90,,696.86,47.63,0.00,,9.24,5.16,,9.04,0.77,,,,40,7,7
776,I,drydown,6,CIP398208.704,,1.00,1.00,1.00,2.00,26.00,19.00,2.00,57.00,3.00,0.70,60.30,89.00,5.00,48.00,2.00,6.50,123.00,44.70,132.00,3.00,3.00,41.70,5.95,7.00,7.00,41.80,5.69,50.77,,-2.87,131.00,71.80,12.28,102.84,11.14,40.90,4.17,117.97,28.74,16.00,0.80,24.36,333.51,56.33,0.51,,5.16,10.92,5.57,2.68,0.02,1658,29,135,28,5,5
777,II,drydown,6,CIP398208.704,,1.00,1.00,1.00,2.00,27.00,22.00,2.00,59.00,3.00,0.60,53.40,91.00,5.00,38.00,2.00,5.78,117.00,41.20,134.00,3.00,1.00,40.50,5.39,5.00,7.00,41.10,4.75,58.38,,-2.53,134.00,83.35,11.26,104.85,11.65,33.52,2.19,87.32,21.59,23.00,0.81,24.73,309.04,46.69,0.46,,5.07,9.22,4.26,2.40,-0.01,,,,40,7,7
778,I,wellwater,6,CIP398208.704,,1.00,1.00,1.00,1.00,28.00,13.00,1.00,63.00,3.00,0.69,51.90,95.00,5.00,37.00,1.00,6.95,124.00,44.50,144.00,5.00,1.00,35.80,7.31,3.00,5.00,34.40,7.03,67.36,24.63,-1.87,148.00,202.98,16.82,191.36,13.07,31.59,2.07,189.30,36.44,8.00,1.11,19.25,615.23,68.40,0.53,78.87,8.21,8.33,4.44,8.01,0.82,7206,105,428,30,5,5
780,II,wellwater,6,CIP398208.704,,1.00,1.00,1.00,2.00,25.00,23.00,3.00,59.00,3.00,0.70,58.50,95.00,5.00,69.00,2.00,6.92,125.00,44.50,144.00,5.00,1.00,37.00,7.49,3.00,5.00,36.90,7.28,69.40,15.88,-2.47,141.00,259.47,19.67,195.45,16.57,66.97,4.18,224.71,70.07,25.00,0.95,31.18,746.60,110.49,0.63,30.81,11.75,9.41,5.97,11.55,0.80,10291,93,523,35,7,7
781,III,wellwater,6,CIP398208.704,,1.00,1.00,1.00,1.00,25.00,16.00,1.00,59.00,3.00,0.96,57.20,96.00,5.00,41.00,1.00,8.85,130.00,41.60,155.00,7.00,1.00,39.30,8.03,3.00,5.00,39.00,9.43,58.68,-11.28,-2.27,149.00,234.07,19.75,195.85,15.19,51.25,3.26,284.16,61.60,16.00,1.07,21.68,765.33,99.80,0.62,43.54,10.17,9.82,6.06,9.97,0.73,8913,89,451,35,7,7
784,IV,wellwater,6,CIP398208.704,,1.00,1.00,1.00,2.00,23.00,17.00,2.00,59.00,3.00,0.70,56.10,92.00,5.00,43.00,2.00,7.21,123.00,41.30,145.00,5.00,1.00,39.80,7.87,3.00,5.00,35.90,7.79,72.81,24.77,-2.33,156.00,245.76,19.88,203.44,14.55,59.80,3.65,243.32,51.44,21.00,1.09,21.14,752.32,89.52,0.57,41.87,9.26,9.67,5.55,9.06,0.78,9794,109,493,,,
786,V,wellwater,6,CIP398208.704,,1.00,1.00,1.00,1.00,28.00,19.00,1.00,65.00,3.00,0.66,57.10,100.00,3.00,41.00,1.00,6.96,115.00,39.00,140.00,5.00,1.00,36.10,7.89,3.00,5.00,36.50,7.93,73.99,20.38,-2.13,148.00,220.48,16.34,167.07,12.03,32.17,2.24,215.81,36.46,10.00,1.15,16.89,635.53,67.07,0.54,101.10,7.70,8.71,4.73,7.50,0.79,8190,122,501,35,5,7
787,III,drydown,6,CIP398208.704,,1.00,1.00,1.00,1.00,25.00,15.00,1.00,60.00,5.00,0.78,55.20,94.00,5.00,39.00,1.00,7.56,110.00,43.30,130.00,7.00,1.00,42.20,7.84,5.00,7.00,45.70,7.25,65.30,,-3.30,132.00,84.62,11.51,94.56,10.02,44.28,4.42,115.78,26.82,16.00,0.80,23.16,339.24,52.77,0.51,,5.02,10.51,5.34,2.38,0.02,1967,37,171,30,7,7
789,IV,drydown,6,CIP398208.704,,1.00,1.00,1.00,1.00,27.00,17.00,2.00,51.00,3.00,0.71,53.00,82.00,3.00,31.00,2.00,7.29,107.00,40.50,126.00,5.00,1.00,47.50,7.15,7.00,5.00,41.70,6.61,54.78,,-3.10,121.00,69.68,9.75,83.28,80.65,22.05,2.60,89.24,21.54,14.00,0.12,24.14,264.25,114.54,0.19,,4.37,26.23,4.93,1.67,-0.01,1821,16,187,35,7,5
790,V,drydown,6,CIP398208.704,,1.00,1.00,1.00,3.00,24.00,24.00,3.00,60.00,1.00,0.78,56.50,95.00,3.00,59.00,2.00,6.76,120.00,39.90,133.00,3.00,1.00,40.90,6.31,7.00,7.00,40.20,5.44,58.91,,-2.97,135.00,75.53,13.25,90.94,11.52,31.76,3.88,150.24,36.86,25.00,0.86,24.53,348.47,65.51,0.56,,5.88,11.14,6.27,3.14,0.02,1772,27,134,30,7,5
791,I,drydown,7,CIP398098.119,LM06092013,1.00,1.00,1.00,3.00,13.00,15.00,3.00,41.00,1.00,0.58,43.90,81.00,3.00,38.00,2.00,6.49,122.00,43.00,144.00,3.00,3.00,46.00,6.96,5.00,5.00,47.30,6.37,57.47,,-2.70,140.00,126.13,14.34,127.60,13.36,26.74,4.25,89.47,21.00,27.00,0.81,23.47,369.94,52.95,0.40,,4.68,11.30,4.48,2.07,0.02,3238,61,226,30,5,3
